Date,02T,03T(เก่า),03T(ใหม่),05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T(เก่า),34T(ใหม่),35T,36T,37A,38A,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T
1/1/2015,47,41,N/A,39,N/A,51,N/A,44,22,N/A,51,49,N/A,N/A,N/A,18,47,N/A,50,69,58,43,51,41,46,81,N/A,69,16,N/A,66,43,65,53,49,N/A,46,15,N/A,39,48,56,48,28,60,49,N/A,31,49,N/A,42,44,35,53,35,30,40,52,46,47,41,55,44,48
1/2/2015,54,51,N/A,49,N/A,60,N/A,54,27,N/A,59,56,N/A,N/A,N/A,21,56,N/A,63,74,72,52,60,58,61,90,N/A,85,19,N/A,82,53,76,60,58,N/A,55,17,N/A,58,42,57,64,30,62,64,N/A,31,72,N/A,52,42,33,50,39,29,43,45,73,48,49,N/A,50,59
1/3/2015,74,71,N/A,63,N/A,82,N/A,68,29,N/A,76,86,N/A,N/A,N/A,27,78,N/A,80,89,96,70,85,76,69,90,N/A,83,21,N/A,103,56,76,72,63,N/A,56,19,N/A,52,58,83,102,38,84,100,N/A,38,63,N/A,55,52,39,55,51,32,48,58,87,55,55,N/A,46,62
1/4/2015,86,84,N/A,85,N/A,93,N/A,93,32,N/A,87,103,N/A,N/A,N/A,32,94,N/A,93,99,114,87,91,93,76,118,N/A,98,21,N/A,99,71,90,83,67,N/A,69,22,N/A,60,73,91,88,58,N/A,101,N/A,36,85,N/A,61,39,30,45,55,34,53,67,88,66,61,69,52,71
1/5/2015,81,85,N/A,76,N/A,99,N/A,102,30,N/A,94,102,N/A,N/A,N/A,33,87,N/A,102,109,103,81,97,77,98,118,N/A,148,19,N/A,91,80,99,74,70,N/A,73,22,N/A,66,74,81,75,51,N/A,120,N/A,40,107,N/A,79,35,28,42,65,35,67,60,96,68,52,90,55,66
1/6/2015,57,N/A,N/A,68,N/A,81,N/A,75,28,N/A,77,69,N/A,N/A,N/A,26,67,N/A,77,115,94,66,99,71,66,100,N/A,168,18,N/A,82,68,87,62,60,N/A,67,19,N/A,51,50,82,92,54,N/A,111,N/A,20,134,N/A,66,21,23,40,48,33,68,58,107,65,59,80,47,60
1/7/2015,37,35,N/A,33,N/A,48,N/A,51,21,N/A,46,47,N/A,69,19,19,46,N/A,57,91,48,35,51,32,63,99,68,191,17,62,61,51,73,45,49,N/A,56,17,N/A,55,54,88,72,51,110,129,N/A,16,102,N/A,53,16,17,36,47,26,65,71,97,62,54,87,45,63
1/8/2015,41,37,N/A,26,N/A,40,N/A,50,23,N/A,41,49,N/A,63,21,18,46,N/A,49,52,52,39,51,33,39,60,50,134,13,45,47,46,65,40,46,N/A,47,16,N/A,62,71,90,68,34,72,53,32,16,32,N/A,33,31,23,32,50,33,47,76,88,48,34,53,68,51
1/9/2015,41,42,N/A,35,N/A,47,N/A,46,22,N/A,47,51,N/A,49,21,16,49,N/A,51,61,59,42,51,41,50,72,54,100,12,46,61,44,63,46,43,N/A,N/A,14,N/A,13,28,25,17,15,26,50,40,23,35,N/A,42,37,26,40,15,23,25,23,N/A,14,37,45,24,48
1/10/2015,49,51,N/A,47,N/A,63,N/A,61,25,N/A,59,67,N/A,61,24,23,58,N/A,73,79,70,50,66,63,60,81,81,116,16,74,77,61,74,52,58,N/A,77,22,N/A,9,22,17,8,4,14,37,35,22,38,N/A,51,20,19,41,7,20,6,10,N/A,5,45,34,15,54
