Date,02T,03T,05T,10T,11T,12T,59T,61T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T
1/1/2016,28,45,24,33,35,26,32,N/A,N/A,15,20,41,N/A,32,27,N/A,33,39,40,N/A,42,51,45,51,57,50,41,21,40,34,35,37,32,28,42,27,19,13,N/A,35,48,N/A,27,28,26,N/A,53,45,27,27,20,34,N/A,22,N/A,24,40,28,13,N/A,N/A
1/2/2016,40,61,36,43,40,37,38,N/A,N/A,18,17,52,N/A,36,27,N/A,40,49,43,N/A,49,59,57,55,59,62,52,20,43,40,31,37,41,31,41,26,28,18,29,41,N/A,28,33,46,34,N/A,38,38,24,23,19,30,27,22,N/A,28,29,42,13,N/A,N/A
1/3/2016,54,82,49,57,55,50,50,N/A,N/A,24,22,75,N/A,49,43,N/A,49,65,80,N/A,60,79,73,66,80,76,73,27,78,53,48,57,59,34,45,34,25,24,45,59,N/A,N/A,51,66,50,N/A,43,55,31,29,22,35,32,30,N/A,28,32,49,16,N/A,N/A
1/4/2016,74,103,74,89,68,80,73,N/A,N/A,33,26,98,N/A,78,83,N/A,70,94,112,N/A,93,99,129,78,97,102,95,37,95,72,82,86,87,45,46,38,41,27,46,73,N/A,N/A,74,78,73,N/A,35,50,32,28,31,38,39,30,N/A,41,34,69,22,N/A,N/A
1/5/2016,78,89,58,74,61,66,65,74,N/A,31,24,84,N/A,79,87,N/A,60,73,86,N/A,107,101,249,71,78,79,96,39,87,79,74,89,82,42,47,41,46,27,57,80,N/A,22,83,84,80,N/A,28,41,34,32,37,53,53,38,N/A,44,34,71,25,N/A,N/A
1/6/2016,68,81,73,78,65,73,68,74,N/A,30,25,93,N/A,84,75,N/A,63,76,78,N/A,101,103,219,70,90,64,88,30,57,69,59,83,69,55,62,52,47,N/A,63,N/A,26,N/A,87,101,79,N/A,29,34,43,31,35,61,54,41,N/A,44,40,60,26,N/A,N/A
1/7/2016,68,58,61,79,61,67,65,74,N/A,30,29,88,N/A,80,65,N/A,51,66,68,N/A,122,N/A,266,112,91,61,76,31,54,67,66,76,78,65,70,58,38,29,66,N/A,32,N/A,86,111,72,N/A,29,35,43,23,36,64,55,43,N/A,52,N/A,52,29,N/A,N/A
1/8/2016,69,61,49,80,52,70,59,71,N/A,28,31,84,N/A,69,53,N/A,47,72,62,N/A,126,N/A,202,134,80,50,60,23,31,39,51,57,60,61,70,49,44,31,64,128,N/A,N/A,N/A,78,41,N/A,32,38,N/A,25,40,48,57,40,N/A,69,63,37,28,N/A,N/A
1/9/2016,29,27,32,45,44,48,36,38,N/A,16,19,71,N/A,40,22,N/A,30,53,31,N/A,58,N/A,115,77,36,19,44,18,26,29,36,41,48,45,58,55,N/A,37,69,102,N/A,N/A,N/A,55,39,N/A,34,40,N/A,29,58,45,77,44,N/A,65,38,36,36,N/A,N/A
1/10/2016,N/A,30,30,35,29,33,28,30,N/A,14,19,50,N/A,32,27,N/A,28,39,30,N/A,55,N/A,106,63,40,28,42,16,25,29,31,35,32,34,50,41,56,25,60,62,N/A,N/A,N/A,44,37,N/A,32,38,N/A,33,46,53,63,32,N/A,56,41,38,35,N/A,N/A
1/11/2016,N/A,54,41,50,35,50,41,45,N/A,24,24,N/A,N/A,45,N/A,N/A,40,55,54,N/A,67,N/A,147,70,57,52,50,20,25,35,42,39,37,51,65,64,50,30,90,83,N/A,82,N/A,56,37,N/A,37,40,49,41,35,69,54,45,N/A,43,47,28,27,N/A,N/A
1/12/2016,N/A,64,47,53,42,60,44,54,N/A,24,21,N/A,N/A,57,N/A,N/A,43,61,48,N/A,84,N/A,190,75,67,55,52,25,39,45,41,49,46,55,71,75,49,38,65,122,N/A,N/A,N/A,77,43,25,37,43,51,46,41,70,61,48,N/A,51,N/A,40,30,N/A,N/A
1/13/2016,N/A,31,39,49,43,53,43,45,N/A,18,21,N/A,N/A,50,N/A,N/A,34,48,40,N/A,80,80,190,82,52,29,66,23,50,48,43,55,43,65,75,77,57,45,67,131,33,N/A,44,89,56,26,32,35,52,40,43,73,72,55,N/A,53,N/A,N/A,32,N/A,N/A
1/14/2016,N/A,44,36,40,41,55,36,38,N/A,18,22,N/A,N/A,42,N/A,N/A,33,51,41,N/A,60,63,164,72,46,37,70,22,38,42,42,46,43,54,62,75,69,53,79,85,28,85,36,84,48,14,24,24,60,32,48,51,77,57,N/A,57,N/A,41,38,N/A,N/A
1/15/2016,N/A,24,22,25,20,26,21,22,N/A,13,12,30,N/A,27,28,N/A,23,34,31,N/A,41,47,86,52,34,25,45,18,43,32,34,35,34,37,55,37,46,31,41,57,20,N/A,51,53,38,21,27,25,38,31,48,31,60,32,N/A,36,40,32,31,N/A,N/A
1/16/2016,N/A,30,25,25,26,31,24,22,N/A,15,18,44,N/A,29,24,N/A,21,35,27,N/A,33,48,74,40,32,25,44,17,32,33,38,33,31,35,50,37,42,24,56,41,19,79,35,32,35,20,22,26,34,28,35,38,46,35,N/A,41,33,36,19,N/A,N/A
1/17/2016,N/A,21,21,20,20,21,20,17,N/A,13,12,47,N/A,26,19,N/A,19,27,18,N/A,34,47,70,37,43,19,32,13,16,24,23,22,22,47,57,65,61,37,77,64,15,79,35,30,30,21,23,29,35,35,32,62,58,47,N/A,36,30,22,24,N/A,N/A
1/18/2016,N/A,34,26,29,26,40,28,25,N/A,10,21,55,N/A,29,28,N/A,21,37,29,N/A,42,57,118,42,46,25,33,14,16,22,28,33,28,54,73,77,65,43,99,100,20,N/A,78,47,20,19,23,30,59,39,38,67,63,55,N/A,53,40,32,32,N/A,N/A
