Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T,79T,80T
1/1/2017,30,35,32,17,N/A,35,33,N/A,95,43,N/A,45,47,37,18,31,29,N/A,N/A,N/A,29,46,35,40,35,38,32,39,22,29,29,41,33,34,27,28,25,37,32,40,29,19,30,41,27,N/A,N/A,29,33,47,31,30,31,41,39,43,32,54,22,43,33,N/A,N/A
1/2/2017,30,34,31,14,N/A,32,30,N/A,80,37,N/A,39,43,34,15,29,26,N/A,N/A,N/A,37,48,39,38,42,37,31,38,28,33,31,38,34,22,19,19,20,18,20,34,24,19,29,30,30,N/A,N/A,26,14,31,17,25,22,23,41,32,23,48,11,44,31,N/A,N/A
1/3/2017,26,34,38,16,N/A,34,36,N/A,77,41,N/A,64,47,38,27,32,28,N/A,N/A,N/A,35,53,54,42,46,50,30,38,19,28,28,39,35,24,22,24,22,18,25,50,15,11,31,35,28,N/A,N/A,22,20,N/A,16,30,23,25,45,27,22,49,9,49,35,N/A,N/A
1/4/2017,37,40,39,17,N/A,38,40,N/A,76,49,N/A,86,54,55,40,36,33,N/A,N/A,N/A,43,63,67,49,55,72,45,49,30,38,43,51,47,21,14,23,17,27,23,58,13,16,44,43,35,N/A,N/A,21,9,N/A,19,26,28,24,45,32,N/A,39,7,47,39,N/A,N/A
1/5/2017,43,55,51,24,N/A,55,54,N/A,88,66,N/A,92,64,58,43,49,40,N/A,N/A,N/A,51,70,100,57,64,75,62,54,30,44,45,62,53,19,16,10,10,11,15,43,8,10,51,49,37,N/A,N/A,22,12,N/A,8,11,14,17,49,24,26,46,3,28,54,N/A,N/A
1/6/2017,36,53,50,22,N/A,45,50,N/A,84,58,N/A,89,62,47,30,47,37,N/A,N/A,N/A,38,N/A,91,44,53,57,58,63,34,48,54,71,55,24,22,17,13,14,17,36,12,12,46,47,38,N/A,N/A,19,16,12,12,17,16,17,47,19,34,46,8,32,63,N/A,N/A
1/7/2017,44,56,58,24,N/A,53,53,N/A,78,66,N/A,103,71,55,45,58,46,N/A,47,N/A,49,N/A,165,67,60,77,60,72,36,53,64,80,72,29,28,18,13,20,17,48,11,5,61,61,42,N/A,N/A,18,16,12,16,31,20,21,55,31,27,56,11,46,80,N/A,N/A
1/8/2017,49,50,56,30,N/A,63,55,N/A,73,61,N/A,127,68,60,44,45,48,N/A,41,N/A,43,N/A,159,55,56,70,32,25,15,24,44,45,39,36,38,22,28,22,26,55,11,7,47,47,32,N/A,N/A,16,24,15,17,33,24,19,N/A,34,25,24,14,63,79,N/A,N/A
1/9/2017,37,39,40,22,N/A,38,38,N/A,80,51,N/A,92,51,42,37,37,34,N/A,39,N/A,39,N/A,163,49,49,76,37,34,19,26,34,44,39,38,N/A,27,28,23,28,59,12,19,43,51,28,N/A,N/A,31,36,20,33,32,34,31,N/A,38,38,28,15,70,48,N/A,N/A
1/10/2017,53,40,53,26,N/A,42,45,N/A,95,62,N/A,113,64,43,37,40,46,N/A,33,N/A,54,N/A,157,N/A,22,39,20,27,24,14,21,29,31,34,32,23,16,23,27,51,20,28,35,41,38,N/A,N/A,34,21,21,25,N/A,30,23,N/A,22,29,23,12,51,53,N/A,N/A
1/11/2017,31,27,33,17,N/A,25,27,N/A,80,38,N/A,63,49,31,28,25,24,N/A,32,N/A,38,N/A,214,41,20,25,25,37,20,17,34,36,36,21,21,11,18,19,15,52,27,33,51,47,N/A,N/A,N/A,31,16,22,10,16,12,19,N/A,26,29,32,4,24,44,N/A,N/A
1/12/2017,18,23,29,19,N/A,25,27,N/A,74,27,N/A,64,45,33,20,18,21,N/A,26,N/A,30,N/A,138,28,25,16,29,36,24,18,32,39,30,27,31,18,11,26,17,52,27,29,78,33,N/A,N/A,N/A,34,27,16,21,N/A,26,22,N/A,29,27,41,11,33,43,N/A,N/A
1/13/2017,30,37,42,19,N/A,33,42,N/A,93,45,N/A,84,51,69,38,26,34,N/A,28,N/A,39,N/A,154,56,33,26,33,39,33,27,41,54,41,34,33,18,16,34,21,45,21,22,55,48,32,N/A,N/A,39,67,15,30,N/A,31,29,N/A,40,23,40,18,60,61,N/A,N/A
1/14/2017,43,57,55,23,N/A,48,54,N/A,88,67,N/A,108,69,97,51,54,49,N/A,55,N/A,60,N/A,216,77,51,70,50,61,40,41,N/A,73,65,32,35,24,20,29,23,58,26,23,47,45,52,N/A,N/A,37,41,14,31,33,26,28,N/A,41,35,47,14,71,62,N/A,N/A
1/15/2017,63,73,68,29,N/A,59,66,N/A,97,81,N/A,114,89,73,53,67,58,N/A,59,N/A,67,N/A,166,71,55,93,57,89,53,59,72,81,57,33,29,19,21,29,26,69,47,23,38,56,39,N/A,N/A,38,30,19,23,37,27,30,N/A,39,27,65,18,73,62,N/A,N/A
1/16/2017,42,51,50,21,N/A,49,49,N/A,N/A,56,N/A,102,67,77,46,50,41,N/A,49,N/A,N/A,N/A,138,58,77,79,51,61,40,44,47,62,47,42,39,30,24,34,34,77,38,31,34,36,31,N/A,N/A,30,28,21,30,39,34,34,N/A,41,40,47,19,75,43,N/A,N/A
