Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T (*),68T (**),69T,70T,71T,72T,73T,74T,75T,76T,77T,79T,80T
1/1/2018,34,37,35,n/a,35,32,35,44,41,42,45,n/a,46,30,n/a,n/a,29,n/a,40,n/a,83,n/a,42,50,48,n/a,23,47,31,n/a,20,27,30,48,40,31,22,16,29,37,27,27,24,31,23,38,36,27,24,18,22,27,n/a,27,17,30,29,21,30,15,42,31,38,26
1/2/2018,41,47,42,n/a,40,37,39,47,44,48,54,n/a,53,35,n/a,n/a,33,n/a,51,n/a,94,n/a,46,58,61,n/a,38,54,33,n/a,31,41,41,46,33,25,23,15,28,44,30,29,33,40,34,41,43,30,18,18,21,26,n/a,26,18,47,29,21,38,21,43,39,41,31
1/3/2018,54,61,51,n/a,55,51,50,69,65,70,70,n/a,63,50,n/a,n/a,43,n/a,60,n/a,99,n/a,84,56,72,n/a,52,78,52,n/a,41,59,48,45,37,30,25,15,31,53,34,31,42,43,38,40,40,31,26,26,26,32,n/a,27,21,56,32,28,56,24,50,45,49,25
1/4/2018,60,74,60,n/a,67,55,58,81,74,77,74,n/a,75,56,n/a,n/a,63,n/a,90,n/a,n/a,n/a,119,67,80,n/a,56,89,61,n/a,58,75,58,47,41,35,26,19,37,73,34,27,38,50,57,32,38,25,25,22,25,42,n/a,31,26,63,31,21,69,32,57,67,58,26
1/5/2018,65,79,71,72,72,67,69,100,93,88,85,n/a,83,63,78,n/a,59,n/a,90,n/a,133,n/a,161,102,89,n/a,82,116,89,n/a,84,105,80,39,35,33,23,19,36,75,38,27,57,55,86,38,42,34,18,19,27,46,n/a,32,26,n/a,34,23,77,28,65,75,67,22
1/6/2018,57,75,72,74,101,54,n/a,83,76,70,76,n/a,78,54,71,n/a,56,n/a,88,n/a,168,n/a,172,96,88,n/a,70,111,66,n/a,81,98,87,50,52,38,35,23,41,77,41,27,53,62,96,26,32,23,21,23,28,54,n/a,31,27,n/a,39,22,63,28,76,74,81,24
1/7/2018,33,24,25,45,37,29,n/a,35,30,26,31,n/a,33,22,n/a,n/a,20,n/a,29,n/a,93,n/a,98,86,47,n/a,27,43,36,n/a,18,30,27,56,55,41,34,30,41,77,36,22,47,40,63,21,24,19,29,24,46,55,n/a,52,32,26,44,27,23,35,74,36,52,20
1/8/2018,30,28,27,29,49,17,n/a,42,31,24,37,n/a,32,n/a,17,n/a,20,n/a,37,n/a,94,n/a,118,34,34,n/a,33,49,27,n/a,23,49,25,53,47,51,50,41,55,47,29,25,55,54,66,17,27,20,36,25,55,47,n/a,49,36,30,42,36,30,40,66,49,34,17
1/9/2018,33,29,33,n/a,41,33,33,44,40,30,47,n/a,36,n/a,33,n/a,19,n/a,31,n/a,100,n/a,169,59,47,n/a,45,50,38,n/a,26,65,32,45,37,47,35,34,40,70,25,22,53,55,104,18,30,19,33,24,51,40,n/a,44,35,44,45,31,45,30,60,62,55,20
1/10/2018,40,25,19,n/a,37,18,19,30,31,25,28,n/a,39,n/a,n/a,n/a,22,n/a,31,n/a,94,n/a,113,58,50,n/a,26,39,29,n/a,19,32,23,41,36,44,33,37,46,54,26,22,28,36,52,23,28,20,32,19,36,28,n/a,40,35,32,36,31,21,31,53,23,43,17
